virus pdb plddt pre_TM post_TM
LASV1 alphafold2_multimer_v3_model_3_seed_000.r0.pdb 62.6 0.7923 0.2303
LASV1 alphafold2_multimer_v3_model_3_seed_000.r1.pdb 74.1 0.8760 0.2889
LASV1 alphafold2_multimer_v3_model_3_seed_000.r2.pdb 74.6 0.8817 0.2708
LASV1 alphafold2_multimer_v3_model_3_seed_000.r3.pdb 74.6 0.8813 0.2641
LASV1 alphafold2_multimer_v3_model_3_seed_000.r4.pdb 75 0.8835 0.2889
LASV1 alphafold2_multimer_v3_model_3_seed_000.r5.pdb 76.1 0.8794 0.2662
LASV1 alphafold2_multimer_v3_model_4_seed_000.r0.pdb 67.8 0.8418 0.2168
LASV1 alphafold2_multimer_v3_model_4_seed_000.r1.pdb 73.6 0.8836 0.2651
LASV1 alphafold2_multimer_v3_model_4_seed_000.r2.pdb 74.9 0.8778 0.2657
LASV1 alphafold2_multimer_v3_model_4_seed_000.r3.pdb 75.2 0.8760 0.2552
LASV1 alphafold2_multimer_v3_model_4_seed_000.r4.pdb 76.1 0.8867 0.2748
LASV1 alphafold2_multimer_v3_model_4_seed_000.r5.pdb 76.5 0.8781 0.2552
LASV1 alphafold2_multimer_v3_model_5_seed_000.r0.pdb 59.9 0.7022 0.2194
LASV1 alphafold2_multimer_v3_model_5_seed_000.r1.pdb 70.4 0.8510 0.2712
LASV1 alphafold2_multimer_v3_model_5_seed_000.r2.pdb 71.8 0.8495 0.2510
LASV1 alphafold2_multimer_v3_model_5_seed_000.r3.pdb 72.1 0.8523 0.2710
LASV1 alphafold2_multimer_v3_model_5_seed_000.r4.pdb 73.8 0.8567 0.2743
LASV1 alphafold2_multimer_v3_model_5_seed_000.r5.pdb 73.6 0.8585 0.2259
LASV2 rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 79.2 0.9930 0.2201
LASV2 rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb 80.8 0.9937 0.2512
LASV2 rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb 78 0.9851 0.2338
LASV2 rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb 78 0.9925 0.2421
LASV2 rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb 74.9 0.9844 0.2651
LASV2 alphafold2_multimer_v3_model_1_seed_000.r0.pdb 57.1 0.7161 0.2005
LASV2 alphafold2_multimer_v3_model_1_seed_000.r1.pdb 69.7 0.9779 0.2659
LASV2 alphafold2_multimer_v3_model_1_seed_000.r2.pdb 76.9 0.9784 0.2353
LASV2 alphafold2_multimer_v3_model_1_seed_000.r3.pdb 78.8 0.9831 0.2254
LASV2 alphafold2_multimer_v3_model_1_seed_000.r4.pdb 79.1 0.9927 0.2213
LASV2 alphafold2_multimer_v3_model_1_seed_000.r5.pdb 79.2 0.9930 0.2470
LASV2 alphafold2_multimer_v3_model_2_seed_000.r0.pdb 66.2 0.5844 0.2242
LASV2 alphafold2_multimer_v3_model_2_seed_000.r1.pdb 75.4 0.9852 0.2441
LASV2 alphafold2_multimer_v3_model_2_seed_000.r2.pdb 77.1 0.9865 0.2178
LASV2 alphafold2_multimer_v3_model_2_seed_000.r3.pdb 79 0.9916 0.2231
LASV2 alphafold2_multimer_v3_model_2_seed_000.r4.pdb 80.1 0.9931 0.2339
LASV2 alphafold2_multimer_v3_model_2_seed_000.r5.pdb 80.8 0.9938 0.2199
LASV2 alphafold2_multimer_v3_model_3_seed_000.r0.pdb 64.1 0.6568 0.2369
LASV2 alphafold2_multimer_v3_model_3_seed_000.r1.pdb 72.7 0.9792 0.2036
LASV2 alphafold2_multimer_v3_model_3_seed_000.r2.pdb 76.9 0.9803 0.2166
LASV2 alphafold2_multimer_v3_model_3_seed_000.r3.pdb 77.9 0.9824 0.2133
LASV2 alphafold2_multimer_v3_model_3_seed_000.r4.pdb 77.9 0.9843 0.2120
LASV2 alphafold2_multimer_v3_model_3_seed_000.r5.pdb 78 0.9852 0.2087
LASV2 alphafold2_multimer_v3_model_4_seed_000.r0.pdb 62.9 0.3901 0.2807
LASV2 alphafold2_multimer_v3_model_4_seed_000.r1.pdb 64.8 0.6570 0.2575
LASV2 alphafold2_multimer_v3_model_4_seed_000.r2.pdb 74.8 0.9844 0.2111
LASV2 alphafold2_multimer_v3_model_4_seed_000.r3.pdb 77.6 0.9863 0.2465
LASV2 alphafold2_multimer_v3_model_4_seed_000.r4.pdb 78.8 0.9919 0.2318
LASV2 alphafold2_multimer_v3_model_4_seed_000.r5.pdb 78 0.9925 0.2028
LASV2 alphafold2_multimer_v3_model_5_seed_000.r0.pdb 61.5 0.4497 0.2135
LASV2 alphafold2_multimer_v3_model_5_seed_000.r1.pdb 70.3 0.9763 0.2674
LASV2 alphafold2_multimer_v3_model_5_seed_000.r2.pdb 73.9 0.9774 0.2663
LASV2 alphafold2_multimer_v3_model_5_seed_000.r3.pdb 75.1 0.9816 0.2650
LASV2 alphafold2_multimer_v3_model_5_seed_000.r4.pdb 74.4 0.9825 0.2689
LASV2 alphafold2_multimer_v3_model_5_seed_000.r5.pdb 74.9 0.9846 0.2657
MARV rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb 67.2 0.9864 0.2607
MARV rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb 66.1 0.9862 0.2593
MARV rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb 63.5 0.9873 0.2425
MARV rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb 60.4 0.9847 0.2611
MARV rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb 58 0.9826 0.2584
MARV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 38.8 0.3210 0.2001
MARV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 58.3 0.9601 0.2447
MARV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 61.7 0.9809 0.2415
MARV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 61.4 0.9855 0.2258
MARV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 62.6 0.9871 0.2420
MARV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 63.5 0.9882 0.2618
MARV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 43.8 0.7306 0.2615
MARV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 60.2 0.9734 0.2600
MARV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 58.3 0.9733 0.2419
MARV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 57.9 0.9836 0.2401
MARV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 59.9 0.9845 0.2365
MARV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 60.4 0.9858 0.2388
MARV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 55.2 0.9106 0.2667
MARV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 66.9 0.9807 0.2626
MARV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 66.1 0.9614 0.2617
MARV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 67.4 0.9913 0.2608
MARV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 66.6 0.9875 0.2614
MARV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 66.1 0.9860 0.2348
MARV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 49.5 0.9205 0.2391
MARV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 63.1 0.9748 0.2317
MARV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 65.2 0.9821 0.2625
MARV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 69.4 0.9872 0.2589
MARV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 68.8 0.9883 0.2597
MARV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 67.2 0.9873 0.2602
MARV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 40.9 0.3603 0.2425
MARV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 57.6 0.9692 0.2420
MARV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 60.1 0.9798 0.2626
MARV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 59.4 0.9803 0.2624
MARV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 59.2 0.9815 0.2609
MARV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 58 0.9840 0.2324
HA rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 96.1 0.9856 0.3600
HA rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb 96.3 0.9847 0.3605
HA rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 96.1 0.9859 0.3599
HA rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb 96.1 0.9947 0.3522
HA rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb 95.8 0.9860 0.3517
HA alphafold2_multimer_v3_model_1_seed_000.r0.pdb 93.8 0.9887 0.3462
HA alphafold2_multimer_v3_model_1_seed_000.r1.pdb 95.9 0.9854 0.3599
HA alphafold2_multimer_v3_model_1_seed_000.r2.pdb 96.1 0.9856 0.3513
HA alphafold2_multimer_v3_model_2_seed_000.r0.pdb 93.2 0.9939 0.3532
HA alphafold2_multimer_v3_model_2_seed_000.r1.pdb 95.9 0.9955 0.3522
HA alphafold2_multimer_v3_model_2_seed_000.r2.pdb 96.1 0.9948 0.3520
HA alphafold2_multimer_v3_model_3_seed_000.r0.pdb 92 0.9761 0.3517
HA alphafold2_multimer_v3_model_3_seed_000.r1.pdb 96 0.9849 0.3539
HA alphafold2_multimer_v3_model_3_seed_000.r2.pdb 96.3 0.9847 0.3571
HA alphafold2_multimer_v3_model_3_seed_000.r3.pdb 96.3 0.9848 0.3572
HA alphafold2_multimer_v3_model_4_seed_000.r0.pdb 93.8 0.9850 0.3563
HA alphafold2_multimer_v3_model_4_seed_000.r1.pdb 95.8 0.9861 0.3560
HA alphafold2_multimer_v3_model_5_seed_000.r0.pdb 92.6 0.9915 0.3531
HA alphafold2_multimer_v3_model_5_seed_000.r1.pdb 95.6 0.9953 0.3520
HA alphafold2_multimer_v3_model_5_seed_000.r2.pdb 95.8 0.9860 0.3545
HA alphafold2_multimer_v3_model_5_seed_000.r3.pdb 96.1 0.9858 0.3602
HA alphafold2_multimer_v3_model_5_seed_000.r4.pdb 96.1 0.9859 0.3611
