virus pdb plddt pre_TM post_TM
LUJV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 62.8 0.6883 0.3281
LUJV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 63.2 0.5545 0.2354
LUJV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 64.3 0.5999 0.2338
LUJV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 64.2 0.6238 0.2698
LUJV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 65.4 0.6192 0.3156
LUJV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 52.2 0.6873 0.4173
LUJV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 54.8 0.7268 0.3145
LUJV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 59.1 0.6404 0.2766
LUJV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 59 0.6456 0.2796
LUJV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 59.6 0.7404 0.3149
LUJV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 59.2 0.7634 0.2553
CHAV rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb 66.7 0.9189 0.2694
CHAV rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb 66.9 0.9099 0.2477
CHAV rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb 66.4 0.8939 0.2213
CHAV rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb 68.2 0.8518 0.2263
CHAV rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 67.8 0.8803 0.2308
CHAV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 64.4 0.9058 0.2756
CHAV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 67.7 0.9131 0.2844
CHAV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 66.4 0.8555 0.2367
CHAV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 65.6 0.8791 0.2445
CHAV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 67 0.8988 0.2313
CHAV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 66.4 0.8942 0.2874
CHAV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 64.2 0.8902 0.2566
CHAV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 65.9 0.9212 0.2557
CHAV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 65.6 0.9263 0.2482
CHAV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 66.3 0.9232 0.2847
CHAV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 65.9 0.9192 0.2511
