virus pdb plddt pre_TM post_TM
CHAV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 48.8 0.5021 0.2405
CHAV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 60.8 0.8674 0.2308
CHAV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 63.3 0.9113 0.2204
CHAV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 64.2 0.9050 0.2823
CHAV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 63.4 0.8965 0.2325
CHAV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 64.4 0.8561 0.2751
MACV rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb 65 0.4190 0.3617
MACV rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb 59.8 0.3923 0.3177
MACV rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb 61 0.8609 0.2476
MACV rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb 60.5 0.8547 0.3239
MACV rank_005_alphafold2_multimer_v3_model_1_seed_000.pdb 55.4 0.2917 0.3210
MACV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 51 0.4394 0.2365
MACV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 56 0.4436 0.2430
MACV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 54 0.2953 0.3341
MACV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 53.6 0.4697 0.3241
MACV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 57.2 0.3843 0.2589
MACV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 55.4 0.2920 0.3179
MACV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 52.5 0.6762 0.3326
MACV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 53.4 0.5416 0.3323
MACV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 55.5 0.2954 0.3103
MACV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 63.5 0.4256 0.3635
MACV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 64.9 0.4222 0.3160
MACV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 65 0.4195 0.2784
MACV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 54.7 0.7862 0.2792
MACV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 63 0.8667 0.2469
MACV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 61.4 0.8622 0.2436
MACV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 60.6 0.8502 0.2443
MACV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 61.5 0.8541 0.2491
MACV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 61 0.8617 0.2454
MACV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 55.2 0.7273 0.3524
MACV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 60.7 0.8549 0.2698
MACV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 58.1 0.8629 0.2430
MACV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 58.8 0.8552 0.2740
MACV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 59 0.8552 0.2711
MACV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 60.5 0.8555 0.2684
MACV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 51.3 0.3788 0.3222
MACV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 55.8 0.4427 0.3078
MACV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 57.3 0.4128 0.3236
MACV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 57.4 0.4181 0.3282
MACV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 58.8 0.3863 0.2613
MACV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 59.8 0.3923 0.2601
