virus pdb plddt pre_TM post_TM
CHAV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 53 0.3748 0.9550
CHAV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 53 0.3724 0.9526
CHAV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 49.4 0.2808 0.8509
CHAV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 55.9 0.3367 0.9507
CHAV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 56.9 0.3328 0.9512
CHAV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 57.6 0.3292 0.9565
CHAV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 58.2 0.3264 0.9557
CHAV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 58.5 0.3445 0.9566
CHAV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 51.4 0.4588 0.9235
CHAV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 51.5 0.3991 0.9223
CHAV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 52 0.3818 0.9259
CHAV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 51.9 0.2794 0.9292
CHAV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 52.8 0.2704 0.9329
CHAV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 53 0.2763 0.9318
MACV rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 56.5 0.3850 0.9616
MACV rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb 56.2 0.3743 0.9577
MACV rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb 55.8 0.4054 0.9621
MACV rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb 50.9 0.3420 0.9291
MACV rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb 53.5 0.3047 0.9085
MACV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 53.5 0.2943 0.9373
MACV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 54.7 0.3395 0.9609
MACV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 55.3 0.3744 0.9607
MACV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 56.5 0.4275 0.9642
MACV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 56.6 0.4538 0.9645
MACV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 56.5 0.3859 0.9631
